"""","総       数_出 火件 数(件)","総       数_焼 損害 額(千円)","総       数_り 災世 帯(世帯)","総       数_り 災人 員(人)","総       数_ 死 者(人)","総       数_ 負傷者(人)","総       数       うち建物_出 火件 数(件)","総       数       うち建物_焼 損棟 数(棟)","総       数       うち建物_焼 損面 積(m2)","総       数   うち林野_出 火件 数(件)","総       数   うち林野_焼 損面 積(ｱ-ﾙ)"
"平成26年(2014年)","356.0","610807.0","164.0","385.0","19.0","53.0","208.0","313.0","9034.0","6.0","60.0"
"","","","","","","","","","","",""
"和歌山市","111.0","144523.0","66.0","144.0","4.0","29.0","73.0","104.0","1888.0","0.0","0.0"
"海 南 市","9.0","8288.0","2.0","2.0","1.0","0.0","4.0","7.0","687.0","0.0","0.0"
"橋 本 市","26.0","49220.0","12.0","32.0","1.0","1.0","13.0","18.0","120.0","1.0","12.0"
"有 田 市","2.0","516.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"御 坊 市","11.0","15380.0","10.0","18.0","0.0","1.0","8.0","14.0","796.0","0.0","0.0"
"田 辺 市","38.0","33842.0","22.0","56.0","5.0","8.0","22.0","30.0","937.0","1.0","29.0"
"新 宮 市","16.0","17826.0","6.0","17.0","1.0","2.0","8.0","15.0","233.0","0.0","0.0"
"紀の川市","18.0","155961.0","5.0","17.0","0.0","2.0","14.0","21.0","1201.0","0.0","0.0"
"岩 出 市","7.0","47983.0","2.0","6.0","0.0","0.0","6.0","11.0","392.0","0.0","0.0"
"","","","","","","","","","","",""
"紀美野町","4.0","2291.0","2.0","3.0","0.0","2.0","3.0","4.0","87.0","0.0","0.0"
"","","","","","","","","","","",""
" かつらぎ町","6.0","4886.0","0.0","0.0","0.0","0.0","2.0","2.0","256.0","0.0","0.0"
"九度山町","2.0","205.0","0.0","0.0","0.0","0.0","1.0","1.0","12.0","0.0","0.0"
"高 野 町","7.0","3438.0","3.0","5.0","0.0","1.0","5.0","6.0","141.0","1.0","16.0"
"","","","","","","","","","","",""
"湯 浅 町","8.0","23186.0","2.0","8.0","0.0","1.0","4.0","7.0","517.0","0.0","0.0"
"広 川 町","8.0","1608.0","2.0","10.0","2.0","0.0","4.0","5.0","126.0","0.0","0.0"
"有田川町","11.0","19606.0","8.0","20.0","2.0","0.0","6.0","14.0","485.0","0.0","0.0"
"","","","","","","","","","","",""
"美 浜 町","3.0","2.0","1.0","3.0","0.0","0.0","2.0","3.0","0.0","0.0","0.0"
"日 高 町","4.0","6088.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"由 良 町","3.0","815.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0"
"印 南 町","4.0","24767.0","2.0","10.0","0.0","0.0","3.0","4.0","241.0","0.0","0.0"
"みなべ町","9.0","3802.0","1.0","2.0","1.0","0.0","4.0","6.0","129.0","0.0","0.0"
"日高川町","8.0","4196.0","3.0","8.0","0.0","0.0","4.0","9.0","227.0","1.0","1.0"
"","","","","","","","","","","",""
"白 浜 町","9.0","19.0","2.0","6.0","0.0","1.0","3.0","3.0","0.0","1.0","0.0"
"上富田町","8.0","1600.0","1.0","1.0","1.0","0.0","4.0","4.0","19.0","0.0","0.0"
"すさみ町","8.0","13152.0","2.0","3.0","1.0","1.0","3.0","3.0","64.0","0.0","0.0"
"","","","","","","","","","","",""
" 那智勝浦町","13.0","16368.0","5.0","8.0","0.0","3.0","9.0","11.0","178.0","1.0","2.0"
"太 地 町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"古座川町","2.0","2380.0","1.0","1.0","0.0","0.0","1.0","2.0","65.0","0.0","0.0"
"北 山 村","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"串 本 町","1.0","8859.0","4.0","5.0","0.0","0.0","1.0","7.0","233.0","0.0","0.0"
